id,title,answer
618,How to convert Map to List in Java 8,"['java.util.stream.Collectors.toList', 'java.util.Map.Entry.comparingByValue', 'java.util.Comparator.comparing', 'java.util.stream.Stream.map']"
619,Using Collections to sort values,['java.util.Collections.sort']
620,Java - Sorting an array,['java.util.Arrays.sort']
621,How to get sorted paged map by couple conditions using java 8 streams,['java.util.TreeSet.headSet']
622,Java how to read folder and list files in that folder in jar environment instead of IDE,['java.lang.ClassLoader.getResourceAsStream']
623,How to pass a stack into a method,['java.lang.Float.parseFloat']
624,Difference between getClass().getClassLoader().getResource() and getClass.getResource()?,"['java.lang.Class.getResource', 'java.lang.Thread.currentThread', 'java.lang.ClassLoader.getResource']"
625,for each in blocking collection,['java.util.concurrent.LinkedBlockingQueue.iterator']
626,How to execute OCaml code from Scala/Java?,['java.lang.Runtime.exec']
627,Different types of thread-safe Sets in Java,['java.util.Collections.synchronizedSet']
628,Malicious code running AccessController.doPrivileged,['java.security.AccessController.doPrivileged']
629,Why does the Streams API need a hint for generic type in this case?,['java.util.stream.Stream.collect']
630,How reading data into char array works?,['java.io.Reader.read']
631,Loading Constants from db and reading them in an include file,['java.lang.System.currentTimeMillis']
632,Java: Using Try/Catch Exception to check if user input is Double,['java.util.Scanner.hasNextDouble']
633,how to create a logic method that finds minimum number,['java.lang.Math.ceil']
634,Interrupting thread which is blocked waiting on IO from socket?,"['java.lang.Thread.isInterrupted', 'java.lang.Thread.interrupt']"
635,what does this [] syntax mean?,['java.lang.String.split']
636,int arrays to json object in java,"['java.lang.Object.toString', 'java.util.Arrays.toString']"
637,"What could cause String.charAt(0) to print nothing, and be of character type ""16""?","['java.lang.Character.DIRECTIONALITY', 'java.lang.Character.getName']"
638,How can I achieve the safe read/write concurrency on an ArrayList?,['java.util.Collections.synchronizedList']
639,How do I convert CamelCase into human-readable names in Java?,['java.lang.String.format']
640,StringTokenizer issues with if statements,['java.lang.String.matches']
641,"Scanner ignoring the String ""name""","['java.util.Scanner.nextInt', 'java.util.Scanner.nextLine', 'java.lang.Integer.parseInt']"
642,Access static final variable using reflection,['java.lang.reflect.Field.get']
643,I am trying to replace a BufferedImage in my code with an animated gif,['javax.imageio.ImageIO.read']
644,TargetDataLine and Xuggler to record audio with a video of the screen,['javax.sound.sampled.DataLine.getMicrosecondPosition']
645,ByteArrayOutputStream is not set properly,['javax.imageio.ImageIO.write']
646,Uncompilable code-illegal start of expression,['java.lang.Math.pow']
647,JTextField - changing caret position on focusLost event,['javax.swing.SwingUtilities.invokeLater']
648,How to escape certain characters in java,['java.util.regex.Pattern.quote']
649,FilesAlreadyExistsException when using Files.copy() on File.createTempFile(),['java.io.File.createTempFile']
650,Getting XML Node text value with Java DOM,"['org.w3c.dom.Node.getNodeValue', 'org.w3c.dom.Node.getFirstChild']"
651,Java library for reading database schema,['java.sql.Connection.getMetaData']
652,"DateTimeFormatter can parse, but not format for same input","['java.time.temporal.ChronoField.YEAR', 'java.time.format.DateTimeFormatter.patterns']"
653,How to trim white space from all elements in array?,"['java.util.Arrays.stream', 'java.util.Arrays.parallelSetAll']"
654,Finding the largest positive int in an array by recursion,['java.lang.Math.min']
655,Does the list returned from Arrays.asList maintain the same order as the original array collection?,['java.util.Arrays.asList']
656,Order of PriorityQueue not as expected,['java.util.stream.Stream.generate']
657,CompletableFuture: Unhandled exception type ExecutionException,['index.java']
658,Java multi thread problem .join(),"['java.lang.Thread.start', 'java.lang.Thread.run']"
659,ConcurrentModificationException even with using Collections.sychronizedMap on a LinkedHashMap,['java.util.Collections.synchronizedMap']
660,How to escape special characters in the regex ***(.*),['java.util.regex.Pattern.quote']
661,JDK java.util.concurrent.ConcurrentSkipListSet.equals(Object o) implementation efficiency,"['java.util.concurrent.ConcurrentSkipListSet.size', 'java.util.Set.contains', 'java.util.Comparator.compare', 'java.util.Arrays.asList', 'java.util.Collections.unmodifiableSet', 'java.util.Set.equals']"
662,"How to copy values, not references, of List<Integer> into another list?",['java.util.Collections.copy']
663,What's wrong with Collections.sort?,"['java.lang.String.format', 'java.util.Collections.sort']"
664,Java - match specific URL in string,['java.util.regex.Pattern.quote']
665,Sonar complains : use StringBuilder instead of StringBuffer,['index.java']
666,How to best store a list of primitive values?,['java.lang.Number.doubleValue']
667,looping throug List and deleting not working,['java.util.Iterator.remove']
668,How comes .array() doesn't work on ByteBuffers returned from map'ed FileChannels?,"['java.nio.channels.FileChannel.map', 'java.nio.ByteBuffer.array']"
669,Behavior of SELECT query using executeUpdate,['java.sql.Statement.executeUpdate']
670,Java Collections sort() equal objects,['java.util.Collections.sort']
671,Java Runtime.exec() arguments on Linux,"['java.lang.Runtime.exec', 'java.lang.Runtime.getRuntime']"
672,How to get next month start date and end date if current month is february?,['java.time.LocalDate.parse']
673,Future timeout and IO timout,"['java.lang.Thread.interrupted', 'java.util.concurrent.Future.get']"
674,copying two vectors java,['java.util.Collections.copy']
675,Collections.emptyList() instead of null check?,['java.util.Collections.emptyList']
676,How to get this Method object via reflection?,['java.lang.Class.forName']
677,How to get the number of lines from a jtextpane,['javax.swing.text.Utilities.getRowStart']
678,How to place an XML file in form of a String inside Java file,['java.lang.Class.getResourceAsStream']
679,Change colors for JProgressBar with Nimbus?,['javax.swing.UIManager.put']
680,Is that thread safe to cache objects in static list,['java.util.Collections.unmodifiableList']
681,"To prevent a memory leak, the JDBC Driver has been forcibly unregistered","['java.sql.DriverManager.registerDriver', 'java.sql.DriverManager.getDrivers', 'java.sql.DriverManager.deregisterDriver']"
682,DataInputStream deprecated readLine() method,"['java.io.BufferedReader.readLine', 'java.lang.System.console', 'java.util.Scanner.nextLine', 'java.io.Console.readLine']"
683,How to check if an element in a string array is empty?,"['java.util.stream.Stream.of', 'java.util.Collections.disjoint', 'java.util.Arrays.asList']"
684,"How to write a hashtable<string, string > in to text file,java?",['java.util.Hashtable.entrySet']
685,Comparison between variables pointing to same Integer object,['java.lang.Integer.valueOf']
686,I can't iterate through TreeSet,['java.util.TreeSet.TreeSet']
687,Convert char[] to byte[] without losing 'bits',"['java.lang.String.String', 'java.lang.String.getBytes']"
688,Insert element into a double array,['java.lang.System.arraycopy']
689,Update JProgressBar from new Thread,['javax.swing.SwingUtilities.invokeLater']
690,Error getting file name using getServletConfig,['java.io.File.separator']
691,Objects will not appear in the java applet when drawn. How am I supposed to properly use the paint/repaint methods in AWT?,['java.lang.Thread.sleep']
692,Java's FutureTask composability,['java.util.concurrent.FutureTask.get']
693,meaning of description for constructor of property class,"['java.util.Hashtable.putAll', 'java.util.Properties.store']"
694,the correct exception for my program,['java.lang.Integer.parseInt']
695,How do I implement Objects.hashcode within java 1.6,['java.util.Objects.hashCode']
696,How to measure the a time-span in seconds using System.currentTimeMillis()?,['java.time.Instant.now']
697,What's the cause of this strange Java behavior?,['java.lang.Long.valueOf']
698,Search multiple HashMaps at the same time,['java.util.stream.Stream.reduce']
699,Not getting expected output while using Countdownlatch and Executor in java,"['java.util.concurrent.ExecutorService.awaitTermination', 'java.util.concurrent.Executors.newSingleThreadExecutor']"
700,Reason for java.lang.ArrayIndexOutOfBoundsException,['java.util.Stack.pop']
701,Java Runtime.getRuntime().exec() fails after calling it several hundred times,"['java.io.File.listFiles', 'java.lang.Runtime.getRuntime']"
702,Pin encryption 4 digit number to hexadecimal,"['java.lang.Integer.valueOf', 'java.lang.String.valueOf']"
703,Learning the nested while loop in Java,['java.util.Random.nextInt']
704,Format numbers under 100 with a 0 in front,['java.lang.String.format']
705,draw a line of known distance along a known angle,"['java.lang.Math.cos', 'java.lang.Math.toRadians', 'java.lang.Math.toDegrees', 'java.lang.Math.sin']"
706,JavaFx 8 - A class that has a border than you're able to color and able to have text in the middle of it,['javafx.scene.doc-files.cssref.typecolor']
707,GUI changes with RadioButton Selection,['java.awt.CardLayout.show']
708,List of all invalid operations that throw an ArithmeticException() in Java?,"['java.lang.Math.subtractExact', 'java.math.BigDecimal.ROUND', 'java.lang.Math.toIntExact', 'java.math.BigDecimal.divide', 'java.lang.Math.negateExact', 'java.lang.Math.multiplyExact', 'java.lang.Math.incrementExact', 'java.lang.Math.decrementExact', 'java.lang.Math.floorDiv', 'java.lang.Math.addExact', 'java.lang.Math.floorMod']"
709,JSplitPane propertyChange event in Swing,['javax.swing.SwingUtilities.invokeLater']
710,Using multiple voids in Java,['java.lang.Thread.sleep']
711,java Serialize Object to ByteArray,['java.io.OutputStream.write']
712,java.lang.IllegalStateException when updating JComboBox with setModel()?,['javax.swing.SwingUtilities.invokeLater']
713,Making loop more efficient,['java.util.Collections.binarySearch']
714,Run C++ program using Java,['java.lang.Runtime.exec']
715,Strange Movement Using Rotation,"['java.lang.Math.toRadians', 'java.lang.Math.cos', 'java.lang.Math.acos', 'java.lang.Math.asin', 'java.lang.Math.sin', 'java.lang.Math.atan2', 'java.lang.Math.atan']"
716,How do I use Java to read from a file that is actively being written to?,['java.nio.channels.FileChannel.read']
717,Is volatile keyword extraneous for non-primitive values in Java?,['java.util.concurrent.package-summary.MemoryVisibility']
718,"Java Optional<T> questions, am I doing this right?","['java.util.Optional.flatMap', 'java.util.Optional.ifPresent', 'java.util.Optional.map']"
719,"(java) Quick sort to sort a number-char pair by number first, then char",['java.util.Arrays.sort']
720,Java Regex - Extract PID from ps command,['java.util.regex.Matcher.find']
721,How to compare generic type member of generic classin java,['java.lang.Comparable.compareTo']
722,Show JFrame in a specific screen in dual monitor configuration,['java.awt.Toolkit.getScreenSize']
723,HashSet showing more values,['java.util.HashSet.remove']
724,CommandLine Arguments in java Help,"['java.lang.Double.parseDouble', 'java.lang.Integer.parseInt']"
725,Java Array Bound Exception,"['java.util.Arrays.binarySearch', 'java.util.Arrays.sort']"
726,ImageIcon Not Displaying in java,"['java.lang.Class.getResource', 'java.lang.Thread.sleep']"
727,"Sort the Object's value inside the Hashmap<String, Object>",['java.util.Map.entrySet']
728,How to use a relative path instead of an absolute path in processing?,['java.io.File.File']
729,How to make a messagebox like JPopupMenu?,"['java.awt.Frame.setUndecorated', 'javax.swing.JOptionPane.showOptionDialog']"
730,Why does the same command work in a bash script but not in Java Runtime directly?,"['java.lang.Runtime.exec', 'java.lang.Runtime.getRuntime']"
731,Differentiate string and new string stored in different memory,"['java.lang.System.identityHashCode', 'java.lang.String.hashCode']"
732,"Converting date to milliseconds, givse wrong result",['java.util.Calendar.set']
733,How to make a decision without an if statement,"['java.lang.Math.max', 'java.lang.Math.min']"
734,How to check the date and timestamp is before 20mins,['java.time.Instant.now']
735,Performance of Random UUID generation with Java 7 or Java 6,['java.util.UUID.randomUUID']
736,Convert Java Timestamp to MySQL timestamp vice versa,"['java.sql.ResultSet.getTimestamp', 'java.sql.PreparedStatement.setTimestamp']"
737,at android.os.AsyncTask$3.done(AsyncTask.java:300),['javax.net.ssl.HttpsURLConnection.setDefaultHostnameVerifier']
738,What is the difference between connection and read timeout for sockets?,['java.lang.Thread.interrupt']
739,How many threads should I create in my case?,"['java.util.concurrent.Executors.newCachedThreadPool', 'java.util.concurrent.Executors.newFixedThreadPool']"
740,How to get a return value from a method when the method contains multiple if statements with multiple returns?,['java.lang.Double.parseDouble']
741,Android currency format returning different currency symbol,['java.text.NumberFormat.getCurrencyInstance']
742,JavaFX problems with multiple windows,['java.lang.Class.getResource']
743,Java replace character with a string in a string,['java.lang.String.replace']
744,Java 8 Generic use of Stream.collect(),['java.util.stream.Collectors.toMap']
745,Converting array of characters to arraylist of characters,['java.util.Arrays.asList']
746,How to read multiple lines using FileReader only?,"['java.io.InputStreamReader.read', 'java.io.Reader.read']"
747,throws x extends Exception method signature,"['java.util.stream.Stream.map', 'java.util.Optional.orElseThrow']"
748,JavaFX TabPane disable tab switching by keys,['javafx.scene.Node.focusTraversableProperty']
749,Code to tell whether a string is a Pangram or not?,"['java.util.Scanner.nextLine', 'java.util.Scanner.next']"
750,Java: how to implement `toArray` for `Collection`,['java.util.Collection.toArray']
751,How can I go about getting the parent directory of a directory,['java.io.File.getParent']
752,Java reading and writing objects to a file,"['java.nio.file.Files.delete', 'java.io.File.delete']"
753,Array in the reverse order,['java.util.Collections.reverse']
754,how to print only certain letters,['java.util.Set.retainAll']
755,"Type mismatch, cannot convert from void to char[]","['java.util.Arrays.equals', 'java.util.Arrays.deepToString', 'java.util.Arrays.sort']"
756,Merging two sorted list of different types (String and Integer) in Java using Lambda,['java.util.Comparator.comparingInt']
757,How to add numbers from a sequence that contains numbers and letters in java?,"['java.lang.String.split', 'java.lang.Integer.parseInt']"
758,DataInputStream for input text files?,"['java.lang.Double.parseDouble', 'java.lang.System.exit']"
759,Java - Try/Catch NumberFormatException uses a former value?,['java.lang.Double.parseDouble']
760,Prepared Statement Primary Key store seed 1 and increment,['java.sql.PreparedStatement.setString']
761,Java throwing org.openqa.selenium.remote.UnreachableBrowserException even though Gecko driver is used,['java.lang.System.setProperty']
762,Getting the EXACT coords of Mouse in Java,"['java.awt.event.MouseEvent.getYOnScreen', 'java.awt.event.MouseEvent.getXOnScreen']"
763,Arrays.asList issue when computing square root of integer array elements,['java.util.Arrays.asList']
764,How to sort Integer Vector using Comparator and iterator?,"['java.util.Arrays.sort', 'java.util.Collections.sort']"
765,How to get current date with custom hour?,['java.util.Calendar.getInstance']
766,How to draw an image on the applet,['java.applet.Applet.getCodeBase']
767,Random XML Layout on button click,['java.lang.Math.random']
768,"Using ""Predefined character classes"" on a substring",['java.lang.String.replaceAll']
769,how to insert data type date(yyyy-MM-dd) in sqlite database and retrive data between two dates in android,"['java.text.DateFormat.format', 'java.text.SimpleDateFormat.parse']"
770,Why is SimpleDateFormat not parsing my date correctly?,['java.text.DateFormat.format']
771,Java: ArrayList<String> sorting using comparators (ArrayLists doesn't store objects),['java.util.Collections.sort']
772,Java: Getting a substring from a string starting after a particular character,['java.lang.String.split']
773,Checking for a null date before converting to java.sql.date from java.util.date,['java.util.Date.getTime']
774,Java append text and save file continously,['java.io.BufferedWriter.flush']
775,How to get 2 counts based on two different values in list and check the two counts are equal or not?,['java.util.stream.Collectors.groupingBy']
776,java.lang.NumberFormatException for converting string to long,"['java.lang.Long.parseLong', 'java.lang.Double.parseDouble', 'java.lang.Math.round']"
777,How to make a pause before continuing method,['java.lang.Thread.sleep']
778,Improper use of foreach in java?,['java.util.Iterator.remove']
779,Decoding URI query string in Java,"['java.net.URLDecoder.URLDecoder', 'java.net.URLDecoder.decode']"
780,How to specify test classpath in Eclipse,['java.lang.Thread.currentThread']
781,Collect Linux command output,['java.lang.Process.getInputStream']
782,Print a number which is out of long range,['java.util.Scanner.nextLong']
783,instantiating Two arrays from two text files,['java.util.Arrays.asList']
784,"File copy/move methods and approaches explanation, comparison","['java.io.File.renameTo', 'java.nio.file.Files.copy', 'java.nio.file.Files.move']"
785,Sorting shapes method error,['java.lang.Comparable.compareTo']
786,Unreachable code + how to go through all combinations,['java.lang.Double.compare']
787,How to ignore a domain that has already been visited? Java | Jsoup,['java.net.URL.getHost']
788,"I'm getting ""Value is not a valid option"" for SelectManyCheckBox ",['java.lang.Object.equals']
789,Webpage data scraping using Java,['java.lang.Integer.parseInt']
790,Arraylist.sort asking for a comparator,['java.util.List.sort']
791,optimizing java 8 stream operations,"['java.util.Map.merge', 'java.util.stream.Collectors.groupingBy', 'java.util.stream.Collectors.toMap']"
792,How to pass array of string and a string as a vararg?,"['java.util.Collections.copy', 'java.util.Arrays.asList']"
793,Complexity of Set operations,"['java.util.ArrayList.retainAll', 'java.util.ArrayList.add']"
794,Can I use an enhanced for loop to print two dimensional arrays?,['java.util.Arrays.deepToString']
795,android - how to get an exception's class and method name within which it occurred,"['java.lang.StackTraceElement.getMethodName', 'java.lang.StackTraceElement.getClassName']"
796,Replace the legacy Stack with what from Java Collections?,['java.util.Collections.asLifoQueue']
797,Counting Occurrences With An Array - Java,['java.util.Random.nextInt']
798,Number of subfolders in a folder directory,['java.nio.file.Files.find']
799,Sort Java Stream like switch conditional,['java.util.List.indexOf']
800,What is the default MessageFactory for Log4J,['java.util.logging.LogManager.getLogger']
801,`null` is treated as String?,"['java.lang.String.concat', 'java.lang.String.valueOf']"
802,In the context of Java Servlet what is the difference between URL Rewriting and Forwarding?,['java.net.URLEncoder.encode']
803,How do I copy ArrayList<T> in java multi-threaded environment?,['java.util.Collections.unmodifiableList']
804,Converting from Windows 1252 to UTF8 in Java: null characters with CharsetDecoder/Encoder,['java.nio.ByteBuffer.array']
805,using UTF-8 characters in JAVA variable-names,"['java.lang.Character.isLetter', 'java.lang.Character.isDigit']"
806,Java's Swing Threading,['java.awt.EventQueue.invokeLater']
807,Enforcing the implementer of an interface to be an enum,['java.util.Collections.unmodifiableSet']
808,How to make a Predicate from a custom list of Predicates in Java?,"['java.util.stream.Stream.reduce', 'java.util.function.Predicate.and']"
809,Creating an array of generic collections,['java.lang.reflect.Array.newInstance']
810,shell script not executing completely from java,"['java.lang.ProcessBuilder.redirect', 'java.lang.Process.getInputStream', 'java.lang.Process.getErrorStream', 'java.lang.ProcessBuilder.inheritIO', 'java.lang.ProcessBuilder.start', 'java.lang.Process.getOutputStream']"
811,Why doesn't my code show presentValue?,['java.lang.Math.pow']
812,How to get words average length using Lambda Expression,"['java.util.stream.IntStream.average', 'java.util.stream.Stream.flatMap', 'java.util.stream.Stream.mapToInt']"
813,How I can replace default calendar of Android OS?,['java.util.Calendar.getInstance']
814,Exit from Java Callable if Exception occured,['java.util.concurrent.Callable.call']
815,Get Java to use tabs instead of spaces for indenting,['javax.xml.transform.Transformer.transform']
816,Why is List.remove overloaded the way it is?,"['java.util.Collection.add', 'java.util.Collection.remove', 'java.util.Vector.removeElement', 'java.util.Vector.elementAt', 'java.util.Vector.addElement', 'java.util.List.get', 'java.util.Vector.removeElementAt', 'java.util.Iterator.hasNext', 'java.util.Enumeration.hasMoreElements', 'java.util.List.remove']"
817,About the Java interface and polymorphism,['java.util.Arrays.asList']
818,(Java) Specify number of bits (length) when converting binary number to string?,"['java.lang.String.format', 'java.lang.Integer.toBinaryString']"
819,How to use timer class,['java.lang.System.currentTimeMillis']
820,how to remove last symbols?,['index.java']
821,Dynamically changing the column header text in JTable,"['javax.swing.table.DefaultTableModel.setColumnIdentifiers', 'javax.swing.table.DefaultTableModel.getColumnName', 'javax.swing.table.DefaultTableModel.getColumnCount']"
822,Reading in data and exceptions,['java.lang.String.split']
823,is it possible to define execution order for a set of threads in java,['java.util.concurrent.CompletableFuture.runAsync']
824,JAVA: parseInt problems,"['java.lang.Character.getNumericValue', 'java.lang.Integer.parseInt']"
825,Mergesort Implementation.. Counting number of inversions in an array,['java.lang.Integer.parseInt']
826,Running multiple regex patterns on String,"['java.lang.String.join', 'java.util.regex.Pattern.quote']"
827,How to call a method in parallel which returns the future?,['java.util.concurrent.ExecutorService.invokeAll']
828,How to handle jodatime Illegal instant due to time zone offset transition,['java.time.LocalDate.parse']
829,Is there a way to use replaceAll on string but call method for replacing the text on each occurrence of a match,['java.util.regex.Matcher.appendReplacement']
830,Replace number at end of each sequence,['java.util.regex.Pattern.quote']
831,How to configure freebase java client to connect through a proxy?,['java.lang.System.setProperty']
832,Converting JOptionPane input to integer,['java.lang.Integer.parseInt']
833,Get subSet of set by using comparator,['java.util.NavigableSet.subSet']
834,java.io.FileNotFoundException when reading .csv file,['java.lang.Class.getResourceAsStream']
835,how to extract an element of JTextArea,"['javax.swing.text.Utilities.getRowStart', 'javax.swing.text.Utilities.getRowEnd', 'javax.swing.JTextArea.getLineStartOffset']"
836,JmDNS service not found in ZeroConf browser,"['java.net.NetworkInterface.getNetworkInterfaces', 'java.net.InetAddress.getLocalHost']"
837,Microphone Streaming is Not Clear,['java.net.DatagramSocket.receive']
838,Login form validation in android,['java.sql.ResultSet.getString']
839,Get last day of Month,"['java.time.YearMonth.of', 'java.time.LocalDate.toString', 'java.util.Locale.US', 'java.time.format.DateTimeFormatter.ofPattern']"
840,How do I remove an element from a hashtable using its value and not the key?,"['java.util.Map.entrySet', 'java.util.Iterator.remove']"
841,Retrieve all Indexes for a given Table with JDBC,"['java.sql.DatabaseMetaData.getPrimaryKeys', 'java.sql.DatabaseMetaData.getIndexInfo']"
842,Why does this String.equals() not work?,['java.lang.String.String']
843,Using the Oracle database parser from Java using JDBC,['java.sql.PreparedStatement.executeQuery']
844,Remove leading zero and delimiter char for BigDecimal,['java.math.BigDecimal.unscaledValue']
845,Java Formatter class toString() doesn't work,"['java.lang.Object.toString', 'java.lang.Object.hashCode', 'java.util.Formatter.toString', 'java.lang.String.format']"
846,How to iterate through ArrayList of objects?,['java.util.ArrayList.get']
847,Runtime.exec getting killed by System.exit?,"['java.lang.Runtime.getRuntime', 'java.lang.Process.waitFor']"
848,Converting a year and day (e.g. 2013216 = the 216th day of 2013) into a full date in Java,"['java.text.SimpleDateFormat.format', 'java.text.SimpleDateFormat.parse']"
849,Timezones in SQL DATE vs java.sql.Date,['java.sql.ResultSet.getDate']
850,Run code for x seconds in Java?,"['java.lang.Thread.sleep', 'java.lang.System.nanoTime']"
851,Confusion with Java Time parsing UTC,"['java.time.Instant.parse', 'java.time.ZoneId.systemDefault']"
852,How to rotate a line based on a given number of degrees,['java.awt.geom.AffineTransform.getRotateInstance']
853,Java: Sorting Method Critique,"['java.util.ArrayList.set', 'java.util.Collections.sort']"
854,Collection - Iterator.remove() vs Collection.remove(),"['java.util.Iterator.remove', 'java.util.Collection.remove']"
855,DefaultStyledDocument.styleChanged(Style style) may not run in a timely manner?,['javax.swing.event.DocumentListener.changedUpdate']
856,Java Case insensitive when including a dot,['java.lang.String.equalsIgnoreCase']
857,Memory allocation for an Exception,['java.lang.System.gc']
858,IP Address not obtained in java,"['java.net.NetworkInterface.getByName', 'java.net.NetworkInterface.getNetworkInterfaces']"
859,how to Manually shuffle the array list,"['java.util.Collections.sort', 'java.util.Collections.shuffle']"
860,Print duplicicate string in text files,['java.util.Set.add']
861,Java AtomicReferenceFieldUpdater - ClassCastException when using generic types,['java.util.concurrent.atomic.AtomicReferenceFieldUpdater.newUpdater']
862,Cant seem to figure out sorting an array of objects in java,['java.util.Arrays.sort']
863,How to sort a csv file on a field that contains double data type value on Java?,['java.util.Collections.sort']
864,parsing xml data form the internet,['java.lang.Class.newInstance']
865,How to check if thread is terminated?,['java.lang.Thread.getState']
866,JScrollPane acting wierd inside a JTextArea,"['java.awt.EventQueue.invokeLater', 'javax.swing.SwingUtilities.invokeLater']"
867,"What's the equivalent to a .NET SortedDictionary, in Java?",['java.util.TreeMap.keySet']
868,Understanding tostring() method ?,['java.io.PrintStream.print']
869,Java Sax to parse complex large XML file,['org.xml.sax.XMLReader.setContentHandler']
870,"Read file by word, Scanner",['java.lang.String.split']
871,Why isn't this gui updating?,['java.awt.Window.pack']
872,Convert CharSequence to BigDecimal,['java.lang.CharSequence.toString']
873,Cannot Serialize/Deserialize ArrayList,['java.io.ByteArrayOutputStream.toString']
874,Java using instanceof but based on method argument,"['java.lang.Class.isInstance', 'java.util.stream.Stream.count']"
875,Getting the name of the currently executing method,"['java.lang.Thread.getStackTrace', 'java.lang.Thread.currentThread', 'java.lang.Throwable.getStackTrace', 'java.lang.invoke.MethodHandles.lookup']"
876,How do I sort a custom ArrayList in Java?,['java.util.Collections.sort']
877,Background a task then end connection before task completion in Java (8),"['java.util.concurrent.BlockingQueue.add', 'java.util.concurrent.BlockingQueue.take']"
878,Create Calendars for 3 years,"['java.util.Calendar.DATE', 'java.util.Calendar.add']"
879,java does for loop COPY the object?,['java.util.Iterator.next']
880,Is there a better (faster) way to divide a number to digits?,['java.lang.Integer.toString']
881,Rounding int to 1 decimal place?,['java.lang.String.valueOf']
882,how to monitor the close event of a JDialog?,['java.lang.System.exit']
883,Understanding the code execution path for given code,['java.util.concurrent.Executors.newFixedThreadPool']
884,Number of words preceding a particular word,['java.lang.String.split']
885,Need to get highest and lowest value without array,['java.lang.Math.max']
886,The expressions which evaluate to a boolean value can not be concatenated with a String in Java. Why?,['java.lang.String.valueOf']
887,How to compare a new time duration with a stored duration and replace with the shorter of the two?,"['java.lang.System.currentTimeMillis', 'java.lang.String.format']"
888,What is the difference between getFields and getDeclaredFields in Java reflection,['java.lang.Class.getDeclaredField']
889,What is the most efficient List-Type for Java parallelStream?,"['java.util.stream.Collectors.toList', 'java.util.LinkedList.add', 'java.util.LinkedList.addAll', 'java.util.Arrays.asList']"
890,Issue i am facing with dateFormat.parse(string)?,"['java.sql.Timestamp.toString', 'java.util.Date.toString']"
891,Sort files by date created before showing it in the app,['java.nio.file.Files.newDirectoryStream']
892,regular expression goes into infinite loop,['java.lang.String.matches']
893,Conversion of string numbers into comma seperated string numbers in Android,['java.text.NumberFormat.getNumberInstance']
894,is Java SocketChannel write(ByteBuffer source) in Android different in windows?,['java.nio.channels.WritableByteChannel.write']
895,Utility of Future.cancel(boolean) method,['java.util.concurrent.Future.cancel']
896,How to sort Alphanumeric String,"['java.lang.String.compareTo', 'java.util.Collections.sort']"
897,Different Enter and mouse click event,['java.awt.event.KeyEvent.KEY']
898,"Why would "".contains"" return false for objects pulled directly from a collection?",['java.lang.Object.equals']
899,How to subtract X days from a date using Java calendar?,"['java.time.LocalDate.now', 'java.util.Calendar.add']"
900,Encoding problem from database to javamail,['java.sql.ResultSet.getString']
901,"Calendar.getInstance(TimeZone.getTimeZone(""UTC"")) is not returning UTC time","['java.text.DateFormat.setTimeZone', 'java.util.TimeZone.setDefault']"
902,finding maximum number in ArrayList,['java.util.Collections.max']
903,JAI save byte[] to .tiff file,['java.awt.Graphics.drawBytes']
904,When use a static class instead of the singleton pattern?,['java.util.Collections.sort']
905,"What exactly is "".class"" in Java Source Code",['java.lang.Class.getDeclaredField']
906,How is really the Java time in millis means?,['java.time.Instant.now']
907,Reading a file of txt to be fed into an array,['java.lang.Byte.parseByte']
908,Java ExecutorService pause/resume a specific thread,['java.lang.Thread.currentThread']
909,Retrieve XSL URL and name in XML file using Java,['javax.xml.transform.TransformerFactory.getAssociatedStylesheet']
910,"Do specialized Optional types (OptionalInt, OptionalDouble, etc) perform a heap allocation?",['java.lang.Integer.valueOf']
911,Guava.Objects.hashCode vs Java.Objects.hashCode,['java.util.Objects.hashCode']
912,Add days and time to Calender object,['java.sql.Timestamp.Timestamp']
913,Two equal strings return false when compared with .equals(),['java.lang.String.endsWith']
914,Exporting Runnable jar loses directory structure,['java.lang.ClassLoader.getResource']
915,Any better solution to ListenKey anywhere inside the frame?,"['javax.swing.JComponent.WHEN', 'javax.swing.KeyStroke.getKeyStroke']"
916,Generic text resource inside jar query?,['java.lang.ClassLoader.getResourceAsStream']
917,JDBC: Inserting Date values into MySQL,"['java.sql.PreparedStatement.setTime', 'java.sql.PreparedStatement.setTimestamp', 'java.sql.PreparedStatement.setDate']"
918,"What does forName() method in the Class class do, when loading jdbc:odbc driver?","['java.lang.Class.forName', 'java.sql.DriverManager.getConnection']"
919,While loop checking for integer in Scanner activates twice on second run-through,['java.util.Scanner.next']
920,how to connect multiple databases on a single server with JDBC?,['java.sql.Connection.setCatalog']
921,How to parse an ISO date with LocalDateTime.parse(...),['java.time.LocalDate.parse']
922,How to use the threads from a thread pool for every httprequest in java?,['java.util.concurrent.Executors.newFixedThreadPool']
923,Java Reflections error: Wrong number of arguments,['java.lang.reflect.Constructor.newInstance']
924,Joda time's DateTime converted to java.util.Date strange issue,['java.util.Date.toString']
925,Why is this loop only running once,['java.util.ArrayList.remove']
926,java.net.MalformedURLException: Protocol not found: but file exists,['javax.xml.parsers.DocumentBuilder.parse']
927,Replace everything after last forward slash,['java.util.regex.Matcher.replaceFirst']
928,Java HttpURLConnection | POST method | Sequence of HTTP header fields,['java.lang.System.setProperty']
929,How do I change JPanel inside a JFrame on the fly?,"['javax.swing.JComponent.revalidate', 'java.awt.Component.repaint']"
